source,category,action,destination,note
/10-nfl-practice-squad-players-the-chicago-bears-should-poach,misc,review,,manual review — does not match WP-style pattern
/adbert-alzolay-injury-update-is-not-good...,misc,review,,manual review — does not match WP-style pattern
/advertise,misc,review,,manual review — does not match WP-style pattern
/app-pages,misc,review,,manual review — does not match WP-style pattern
/app-pages/about-us,misc,review,,manual review — does not match WP-style pattern
/app-pages/contact-3,misc,review,,manual review — does not match WP-style pattern
/app-pages/privacy-policy-2,misc,review,,manual review — does not match WP-style pattern
/apply,misc,review,,manual review — does not match WP-style pattern
/bears-news,wp_legacy_archive,redirect_308,/chicago-bears,WP archive/index page → team hub equivalent
/betmgm-illinois,misc,review,,manual review — does not match WP-style pattern
/blackhawks-news,wp_legacy_archive,redirect_308,/chicago-blackhawks,WP archive/index page → team hub equivalent
/bulls-news,wp_legacy_archive,redirect_308,/chicago-bulls,WP archive/index page → team hub equivalent
/cart-2,misc,review,,manual review — does not match WP-style pattern
/checkout,misc,review,,manual review — does not match WP-style pattern
/chicago-bears-history,wp_legacy_archive,redirect_308,/chicago-bears,WP archive/index page → team hub equivalent
/chicago-bears-odds,wp_legacy_archive,redirect_308,/chicago-bears,WP archive/index page → team hub equivalent
/chicago-bears-player,wp_legacy_archive,redirect_308,/chicago-bears,WP archive/index page → team hub equivalent
/chicago-bears-roster,wp_legacy_archive,redirect_308,/chicago-bears,WP archive/index page → team hub equivalent
/chicago-bears-rumors/rumor-matt-nagy-status-with-bears-all-but-set-in-stone,misc,review,,manual review — does not match WP-style pattern
/chicago-bears-schedule,wp_legacy_archive,redirect_308,/chicago-bears/schedule,WP archive/index page → team hub equivalent
/chicago-bears-scores,wp_legacy_archive,redirect_308,/chicago-bears/scores,WP archive/index page → team hub equivalent
/chicago-bears-sign-wr-marquise-goodwin-to-deal,misc,review,,manual review — does not match WP-style pattern
/chicago-bears-the-favored-new-home-for-top-remaining-free-agent,misc,review,,manual review — does not match WP-style pattern
/chicago-bears/chicago-bears-rumors/unusual-roster-move-puts-lamar-jackson-status-in-question-vs-bears,misc,review,,manual review — does not match WP-style pattern
/chicago-blackhawks-odds,misc,review,,manual review — does not match WP-style pattern
/chicago-blackhawks-player,misc,review,,manual review — does not match WP-style pattern
/chicago-blackhawks-roster,misc,review,,manual review — does not match WP-style pattern
/chicago-blackhawks-schedule,misc,review,,manual review — does not match WP-style pattern
/chicago-blackhawks-schedule-2,misc,review,,manual review — does not match WP-style pattern
/chicago-blackhawks-scores,misc,review,,manual review — does not match WP-style pattern
/chicago-bulls-history,misc,review,,manual review — does not match WP-style pattern
/chicago-bulls-odds,misc,review,,manual review — does not match WP-style pattern
/chicago-bulls-player,misc,review,,manual review — does not match WP-style pattern
/chicago-bulls-roster,misc,review,,manual review — does not match WP-style pattern
/chicago-bulls-schedule,misc,review,,manual review — does not match WP-style pattern
/chicago-bulls-scores,misc,review,,manual review — does not match WP-style pattern
/chicago-bulls-voted-to-be-most-improved-team-by-gms,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs-history,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs-odds,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs-player,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs-roster,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs-rumors/kris-bryant-trade-rumors-starting-to-heat-up,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs-schedule,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs-scores,misc,review,,manual review — does not match WP-style pattern
/chicago-cubs/nick-madrigal-is-outta-here/as,misc,review,,manual review — does not match WP-style pattern
/chicago-sports-news-2020,misc,review,,manual review — does not match WP-style pattern
/chicago-sports-news-and-rumors-sports-mockery-mobile,misc,review,,manual review — does not match WP-style pattern
/chicago-sports/betting-in-chicago-could-be-shutdown-on-new-years-day,misc,review,,manual review — does not match WP-style pattern
/chicago-sports/eastern-illinois-pitcher-becomes-world-series-hero,misc,review,,manual review — does not match WP-style pattern
/chicago-sports/new-media-strategy-for-blackhawks-bulls-and-white-sox-unveiled,misc,review,,manual review — does not match WP-style pattern
/chicago-sports/the-top-10-underrated-athletes-in-the-chicago-sports-history,misc,review,,manual review — does not match WP-style pattern
/chicago-white-sox-history,misc,review,,manual review — does not match WP-style pattern
/chicago-white-sox-odds,misc,review,,manual review — does not match WP-style pattern
/chicago-white-sox-player,misc,review,,manual review — does not match WP-style pattern
/chicago-white-sox-roster,misc,review,,manual review — does not match WP-style pattern
/chicago-white-sox-schedule,misc,review,,manual review — does not match WP-style pattern
/chicago-white-sox-scores,misc,review,,manual review — does not match WP-style pattern
/college,misc,review,,manual review — does not match WP-style pattern
/college-football,misc,review,,manual review — does not match WP-style pattern
/college-football/notre-dame-coach-threatens-to-boycott-college-football-playoffs,misc,review,,manual review — does not match WP-style pattern
/college/cbs-sports-classic-shines-the-spotlight-on-chicago,misc,review,,manual review — does not match WP-style pattern
/college/illini,misc,review,,manual review — does not match WP-style pattern
/college/illini/2018-illinois-fighting-illini-football-preview,misc,review,,manual review — does not match WP-style pattern
/college/illini/big-ten-basketball-media-day-is-now-back-in-chicagoland,misc,review,,manual review — does not match WP-style pattern
/college/illini/how-can-illinois-finally-put-the-chief-debate-to-rest-just-win,misc,review,,manual review — does not match WP-style pattern
/college/illini/illinois-football-is-back-and-that-is-great-for-the-state,misc,review,,manual review — does not match WP-style pattern
/college/illini/illinois-loss-in-iowa-breaks-7-game-winning-streak-while-both-coaches-tempers-flare,misc,review,,manual review — does not match WP-style pattern
/college/illini/illinois-northwestern-ncaa-tournament,misc,review,,manual review — does not match WP-style pattern
/college/illini/illinois-quarterback-a-j-bush-misses-second-straight-game,misc,review,,manual review — does not match WP-style pattern
/college/illini/illinois-quarterback-a-j-bush-questionable-for-friday-night,misc,review,,manual review — does not match WP-style pattern
/college/illini/illinois-wide-receiver-mike-dudek-has-another-season-ending-injury,misc,review,,manual review — does not match WP-style pattern
/college/illini/jalen-coleman-lands-illinois-seems-like-pretty-legit-dude,misc,review,,manual review — does not match WP-style pattern
/college/illini/m-j-rivers-makes-his-first-career-start-for-the-fighting-illini-against-usf,misc,review,,manual review — does not match WP-style pattern
/college/illini/northwestern-defeats-illinois-for-first-conference-win-of-season,misc,review,,manual review — does not match WP-style pattern
/college/illini/raiders-stadium-to-host-sec-big-ten-at-mitsubishi-motors-las-vegas-bowl,misc,review,,manual review — does not match WP-style pattern
/college/illini/the-five-most-important-players-for-the-illinois-fighting-illini-in-2018,misc,review,,manual review — does not match WP-style pattern
/college/illini/the-illinois-fighting-illini-fall-to-ohio-state-at-the-united-center,misc,review,,manual review — does not match WP-style pattern
/college/illinois-sport-gambling-has-a-big-flaw,misc,review,,manual review — does not match WP-style pattern
/college/jalen-coleman-lands-makes-his-depaul-blue-demons-debut,misc,review,,manual review — does not match WP-style pattern
/college/northern-illinois-contines-to-search-for-offense-in-loss-to-utah,misc,review,,manual review — does not match WP-style pattern
/college/northern-illinois-sutton-smith-to-the-enter-2019-nfl-draft,misc,review,,manual review — does not match WP-style pattern
/college/northwestern,misc,review,,manual review — does not match WP-style pattern
/college/northwestern-can-change-their-national-reputation-with-two-wins,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/15-thoughts-on-northwesterns-tough-loss-to-ohio-state-in-the-big-ten-championship-game,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/2018-northwestern-wildcats-football-preview,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/heartbroken-northwestern-womens-basketball-team-honors-player-committed-suicide,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/how-does-northwestern-replace-running-back-jeremy-larkin,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/its-a-new-day-for-northwestern-basketball-at-welsh-ryan-arena,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/pat-fitzgerald-fired-completing-fastest-fall-from-grace-in-chicagoland-history,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/the-five-most-important-players-for-northwestern-in-2018,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/the-northwestern-wildcats-announce-future-non-conference-football-opponents,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/the-northwestern-wildcats-are-ready-to-kickoff-the-season,misc,review,,manual review — does not match WP-style pattern
